xSum_mm,ySum_mm
349,-0.0334636381110061
350,-0.0307775870192451
351,-0.0280738835696137
352,-0.0253515389439591
353,-0.0226105643241289
354,-0.0198529708919705
355,-0.0170757698293313
356,-0.0142799723180587
357,-0.01146758954
358,-0.00863562796706544
359,-0.0057850752314157
360,-0.00291691425527425
361,-3.11279608645209e-05
