xSum_mm	ySum_mm
317	-0.109265872107624
318	-0.107189398219809
319	-0.105095488481689
320	-0.102983337514899
321	-0.100853939941073
322	-0.0987050903818447
323	-0.0965398834588491
324	-0.0943569137937202
325	-0.0921551760080923
326	-0.0899333647235996
327	-0.0876925745618762
328	-0.0854337001445566
329	-0.0831566360932749
330	-0.0808622770296654
331	-0.0785512175753624
332	-0.076221352352
333	-0.0738720758776796
334	-0.0715040822563707
335	-0.0691176654885096
336	-0.0667129195745331
337	-0.0642890385148775
338	-0.0618460163099793
339	-0.0593848469602751
340	-0.0569053244662013
341	-0.0544063428281945
342	-0.0518862960466912
343	-0.0493459781221278
344	-0.0467855830549408
345	-0.0442041047376027
346	-0.0416025345794077
347	-0.0389794615064729
348	-0.0363354743369507
349	-0.0336705618889939
350	-0.0309838129807549
351	-0.0282740164303864
352	-0.0255433610560409
353	-0.0227921356758711
354	-0.0200187291080295
355	-0.0172229301706687
356	-0.0144051276819413
357	-0.01156451046
358	-0.00870037203293455
359	-0.00581242476858429
360	-0.00290218574472574
361	3.11279608645209e-05
